CRN,AXLE_CNT,CARGO_BD_TYPE,CARRIER_ADDR_1,CARRIER_ADDR_2,CARRIER_ADDR_CITY,CARRIER_ADDR_STATE,CARRIER_ADDR_ZIP,CARRIER_NM,CARRIER_TEL,GVWR,HAZMAT_CD1,HAZMAT_CD2,HAZMAT_CD3,HAZMAT_CD4,HAZMAT_IND,HAZMAT_REL_IND1,HAZMAT_REL_IND2,HAZMAT_REL_IND3,HAZMAT_REL_IND4,ICC_NUM,OSIZE_LOAD_IND,PUC_NUM,UNIT_NUM,USDOT_NUM,VEH_CONFIG_CD
2018011941,99.0,4,SWEDE RD JOHNSON HIGHWA,,NORRISTOWN,PA,19021,PENNDOT,6102752368.0,58400.0,,,,,N,,,,,,N,,2,09722069,9
2018016805,2.0,1,625 S FIFTH AVE,,LEBANON,PA,17042,NEW PENN MOTOR EXPRESS,8567867646.0,66000.0,3.0,,,,Y,1.0,,,,,N,,3,00010670,8
2018019901,2.0,8,7700 STATE ROAD,,PHILADELPHIA,PA,19136,YELLOWBIRD TRANSPORTATION,2152891022.0,29800.0,,,,,N,,,,,,N,,1,00273447,11
2018029902,99.0,9,100 BELMONT AVE,,BALA CYNWYD,PA,19004,BALA MOTORSPORTS,9999999999.0,999999.0,,,,,N,,,,,,N,,2,,5
2018030927,2.0,8,1234 MARKET STREET,,PHILADELPHIA,PA,19107,SEPTA,3024203143.0,999999.0,,,,,N,,,,,,N,,2,,11
2018032303,,9,UNKNOWN,,UNKNOWN,ZZ,99999,UNKNOWN,9999999999.0,,,,,,,,,,,,,,4,,99
2018037189,5.0,1,32 PONDS VIEW RD,,GLEN MILLS,PA,193421934,TEUTONIC TRANSPORTATION LLC,2674754392.0,80000.0,,,,,N,,,,,,N,,2,02526040,8
2018037233,99.0,9,UNKNOWN,,UNKNOWN,ZZ,99999,SEPTA,9999999999.0,25500.0,,,,,N,,,,,,N,,2,,5
2018037312,99.0,9,45 E CITY AVE,,BALA  CYNWYD,PA,19004,OCHLBERG ENTERPRISE,9999999999.0,12000.0,,,,,N,,,,,,N,,1,,5
2018037312,99.0,8,1234 MARKET,,PHILA,PA,19107,SEPTA,9999999999.0,999999.0,,,,,N,,,,,,N,,2,,11
2018040922,5.0,1,629 BROOK ST,,LINDEN,NJ,07036,GCH TRANSPORT LLC,7326191697.0,80000.0,,,,,N,,,,,,N,,2,03066031,8
2018043404,99.0,8,1234 MARKET,,PHILA,PA,19107,SEPTA,9999999999.0,999999.0,,,,,N,,,,,,,,1,,11
2018043891,99.0,8,1234 MARKET,,PHILA,PA,19107,SEPTA,9999999999.0,999999.0,,,,,N,,,,,,N,,1,,11
2018043922,99.0,8,2500 WHEATSHEAF,,PHILADELPHIA,PA,19137,SEPTA CONNECT,2158828598.0,999999.0,,,,,N,,,,,,N,,1,,10
2018046110,2.0,1,4000 CLINE AVE,,EAST CHICAGO,IN,46312,PENSKE TRUCK LEASING,8448479517.0,999999.0,,,,,N,,,,,,N,,2,00327574,3
2018046254,99.0,8,UNKNOWN,,UNKNOWN,ZZ,99999,UNKNOWN,9999999999.0,999999.0,,,,,N,,,,,,N,,1,,11
2018046382,3.0,1,1401 BERLIN ROAD,,CHERRY HILL,NJ,08034,RYDER TRUCK RENTA,9999999999.0,30000.0,,,,,N,,,,,,N,,3,01885045,4
2018049230,99.0,9,600 PENLLYN PIKE,,PENLLYN,PA,19422,J BILL LANDSCAPING INC,9999999999.0,11000.0,,,,,N,,,,,,N,,2,,5
2018051190,99.0,9,UNKNOWN,,UNKNOWN,ZZ,99999,GOLD MEDAL SERVICES LLC,9999999999.0,73280.0,,,,,N,,,,,,,,1,,5
2018054040,99.0,9,UNKNOWN,,UNKNOWN,TX,99999,SERENE TRUCKING,9999999999.0,25999.0,,,,,N,,,,,,N,,2,,5
2018054133,99.0,8,1234 MARKET,,PHILA,PA,19107,SEPTA,9999999999.0,999999.0,,,,,N,,,,,,N,,2,,11
2018054153,99.0,8,1234 MARKET,,PHILA,PA,19107,SEPTA,9999999999.0,999999.0,,,,,N,,,,,,N,,2,,11
2018054201,99.0,8,1234 MARKET,,PHILA,PA,19107,SEPTA,9999999999.0,999999.0,,,,,N,,,,,,N,,1,,11
2018055437,99.0,8,1234 MARKET ST 14TH FL,,PHILADELPHIA,PA,19107,SOUTHEASTERNPENNSYLVANIATRANSPOR,2155807145.0,999999.0,,,,,N,,,,,,Y,,1,,11
2018055820,4.0,4,8400 BUSTLETON AVE,,PHILADELPHIA,PA,19152,FELIX AND SON CONTRACTORS INC,2673455083.0,73280.0,,,,,N,,,,,,N,,1,02976130,4
2018058130,99.0,8,6821 NORWITCH DRIVE,,PHILADELPHIA,PA,19153,ALL CITY TRANS,2154762857.0,999999.0,,,,,N,,,,,,N,,1,,10
2018059114,99.0,9,3255 MAPLE AVE,,BURLINGTON,NC,272157000,CAROLINA TANK LINE,9999999999.0,999999.0,,,,,N,,,,,,N,,2,,8
2018064377,99.0,8,UNKNOWN,,UNKNOWN,ZZ,99999,UNKNOWN,9999999999.0,999999.0,,,,,N,,,,,,N,,2,,11
2018066481,99.0,9,241 BORO LINE RD.,,KING OF PRUSSIA,PA,19406,SAMANTHAS TOWING AND RECOVERY,9999999999.0,999999.0,,,,,N,,,,,,N,,1,,5
2018067223,99.0,8,UNKNOWN,,UNKNOWN,PA,99999,IMPERIAL PARKING US INC,9999999999.0,999999.0,,,,,N,,,,,,N,,1,,10
2018068604,4.0,3,6800 QUAD AVE,,BALTIMORE,MD,21237,ALPHA PAINTING AND CONSTRUCTION,4102886800.0,80000.0,,,,,N,,,,,,N,,2,00569053,9
2018070788,2.0,1,12700 TOWNSEND RD,,PHILADELPHIA,PA,19154,EMPIRE DELIVERY,2156321200.0,26000.0,,,,,N,,,,,,N,,1,00297242,3
2018072476,99.0,9,UNKNOWN,,UNKNOWN,ZZ,99999,BRENNY SPECIALIZED,9999999999.0,999999.0,,,,,N,,,,,,N,,2,,8
2018076919,99.0,9,UNKNOWN,,READING,PA,19603,PENSKE TRUCK LEASING,9999999999.0,999999.0,,,,,N,,,,,,N,,1,,5
2018077412,99.0,8,111 S INDEPENDENCE MALL,,PHILA,PA,19106,PHILA SIGHTSEEING TOURS,9999999999.0,999999.0,,,,,N,,,,,,N,,1,,11
2018079714,99.0,7,DTYUSDTYU,,PHILA,PA,19143,GOLD MEDAL ENVIRONMENTAL INC.,9999999999.0,66000.0,,,,,N,,,,,,N,,2,,5
2018080642,5.0,9,78 GRANDVIEW RIDGE RD,,RED HOUSE,WV,25168,CASTO FARMS INC,9999999999.0,80000.0,,,,,N,,,,,,N,,2,00091208,8
2018084906,3.0,9,PO BOX 488,,MICKLETON,NJ,08056,ATLAS FLASHER AND SUPPLY CO,8564233333.0,25500.0,,,,,N,,,,,,N,,2,01041480,98
2018084906,,9,PO BOX 488,,MICKLETON,NJ,08056,ATLAS FLASHER AND SUPPLY CO,8564233333.0,25500.0,,,,,N,,,,,,N,,3,01041480,98
2018088453,99.0,9,"100 S BROAD ST,3RD FLOO",,PHILA,PA,19110,CITY OF PHILA,9999999999.0,58350.0,,,,,N,,,,,,N,,1,,5
2018090893,99.0,9,2567 N HOPE ST,,PHILA,PA,19133,VELEZ,9999999999.0,14500.0,,,,,N,,,,,,N,,2,,5
