CRN,MC_BAG_IND,MC_DVR_BOOTS_IND,MC_DVR_EDC_IND,MC_DVR_EYEPRT_IND,MC_DVR_HLMTDOT_IND,MC_DVR_HLMTON_IND,MC_DVR_HLMT_TYPE,MC_DVR_LNGPNTS_IND,MC_DVR_LNGSLV_IND,MC_ENGINE_SIZE,MC_PASSNGR_IND,MC_PAS_BOOTS_IND,MC_PAS_EYEPRT_IND,MC_PAS_HLMTDOT_IND,MC_PAS_HLMTON_IND,MC_PAS_HLMT_TYPE,MC_PAS_LNGPNTS_IND,MC_PAS_LNGSLV_IND,MC_TRAIL_IND,PC_HDLGHT_IND,PC_HLMT_IND,PC_PASSNGR_IND,PC_REAR_RFLTR_IND,UNIT_NUM
2011001030,,,,,,,,,,,,,,,,,,,,N,N,N,Y,2
2010027936,,,,,,,,,,,,,,,,,,,,U,N,N,U,2
2011022579,U,U,U,U,U,U,9.0,U,U,99999.0,N,,,,,,,,U,,,,,1
2011025716,U,U,U,U,U,U,9.0,U,U,99999.0,N,,,,,,,,U,,,,,2
2011025719,,,,,,,,,,,,,,,,,,,,U,N,N,U,2
2011027931,,,,,,,,,,,,,,,,,,,,U,N,N,Y,2
2012128215,U,U,U,U,U,U,9.0,U,U,99999.0,U,,,,,,,,U,,,,,1
2010038750,U,U,U,U,U,U,9.0,U,U,99999.0,N,,,,,,,,U,,,,,1
2010038990,U,U,U,N,N,N,0.0,U,U,99999.0,N,,,,,,,,U,,,,,2
2010045065,,,,,,,,,,,,,,,,,,,,U,N,N,U,2
2010045066,,,,,,,,,,,,,,,,,,,,N,N,N,Y,2
2010047477,Y,Y,Y,Y,Y,Y,1.0,Y,Y,1100.0,Y,Y,Y,Y,Y,1.0,Y,Y,N,,,,,1
2010048466,U,U,U,U,U,U,9.0,U,U,99999.0,N,,,,,,,,U,,,,,1
2010048473,U,U,U,U,U,U,9.0,U,U,99999.0,N,,,,,,,,U,,,,,2
2010048847,,,,,,,,,,,,,,,,,,,,U,N,N,U,2
2010058956,,,,,,,,,,,,,,,,,,,,U,U,N,U,2
2010060273,N,U,N,N,U,U,0.0,U,U,99999.0,N,,,,,,,,N,,,,,1
2010061978,,,,,,,,,,,,,,,,,,,,U,Y,N,U,2
2010062243,,,,,,,,,,,,,,,,,,,,U,N,N,U,2
2010062699,U,U,U,U,U,U,9.0,U,U,99999.0,N,,,,,,,,U,,,,,1
2010062874,N,Y,N,Y,U,Y,1.0,Y,Y,600.0,N,,,,,,,,N,,,,,1
2010064770,N,U,U,N,N,N,0.0,Y,N,99999.0,N,,,,,,,,N,,,,,1
2010064774,Y,Y,U,Y,,,0.0,Y,N,1480.0,N,,,,,,,,N,,,,,1
2010067076,,,,,,,,,,,,,,,,,,,,N,Y,N,U,2
2010069241,U,U,U,U,U,U,9.0,U,U,99999.0,N,,,,,,,,U,,,,,2
2010069683,,,,,,,,,,,,,,,,,,,,U,U,N,U,2
2010070704,N,U,N,U,U,U,9.0,U,U,99999.0,N,,,,,,,,N,,,,,1
2010070729,,,,,,,,,,,,,,,,,,,,U,N,N,U,1
2010070748,,,,,,,,,,,,,,,,,,,,U,U,N,U,2
2010070775,U,U,Y,U,U,Y,1.0,Y,Y,99999.0,N,,,,,,,,U,,,,,2
2010074044,Y,Y,Y,Y,Y,Y,1.0,Y,Y,750.0,N,,,,,,,,N,,,,,1
2010074465,,,,,,,,,,,,,,,,,,,,U,U,N,U,2
2010074555,,,,,,,,,,,,,,,,,,,,U,N,N,U,2
2010074577,U,U,U,U,N,N,0.0,U,U,99999.0,N,,,,,,,,U,,,,,1
